Name,Class,Position
Justin Alpert,Sophomore,WR
Alexandro Armour Jr.,Sophomore,DL
Josh Barnavon,Sophomore,SP
Dante Barone,Junior,TE
Francescoo Barone,Senior,DB
Darius Beauvoir,Junior,DB
Aiden Bergin,Sophomore,LB
William Bergin,Senior,OL
Jamal Bing Jr.,Junior,RB
Jake Bingham,Senior,OL
Dj Brown,Senior,LB
Markus Brown,Sophomore,TE
Andrew Bruce,Sophomore,DB
Marco Carone,Sophomore,OL
Christian Carter,Junior,DB
Ty Cortes,Sophomore,DB
Zach Darche,Junior,LB
Jake Davis,Senior,LB
Christian de Villiers,Junior,SP
Jack Donnelly,Sophomore,TE
Jayden Drayton,Junior,WR
Davis Ellis,Senior,WR
Kayleb Ervin,Junior,DB
Mike Fernicola,Junior,OL
Liam Forster,Sophomore,OL
Maxwell Freeman,Senior,OL
Cosmo Fusco,Sophomore,DL
Alex Haight,Senior,WR
Raashed Hall,Junior,DL
Joey Holliday,Junior,LB
Brady Ioannidis,Senior,DL
Carter Janki,Senior,DL
Paul Jennings,Senior,DL
Ronan Johannson,Sophomore,WR
Connor Johns,Sophomore,WR
Alex Jordan,Sophomore,DL
Dylan Karz,Sophomore,WR
Aaron Kruse,Junior,OL
Hunter Lay,Junior,DL
Matthew Leyes,Senior,SP
John Lista,Senior,LB
Kadari Machen,Senior,LB
Devin Malloy,Junior,DB
Remo Marcaccio,Sophomore,OL
Connor Martin,Sophomore,DL
Derek McCrum,Sophomore,LB
David McMorris,Sophomore,DL
Ryan Mitchell,Sophomore,OL
Josh Narcisse,Junior,DB
Liam O'Brien,Senior,QB
Ryan O'Connell,Senior,LB
Netinho Olivieri,Senior,OL
Cadin Olsen,Junior,QB
Cole Olsztyn,Junior,LB
Bisi Owens,Senior,WR
Trevor Pajak,Sophomore,LB
Brayden Phinney,Sophomore,LB
James Quinnelly,Senior,DL
Jared Richardson,Senior,WR
Oliver Roaman,Sophomore,DL
David Rolands,Junior,OL
Griffin Rosenbloom,Sophomore,WR
John Ruvo IV,Senior,WR
Luke Sacchetti,Junior,OL
Nathan Sayle,Sophomore,OL
Dylan Seay,Sophomore,TE
Cole Shannon,Junior,WR
Karson Siqueiros-Lasky,Sophomore,QB
Sam Smith,Senior,SP
Julien Stokes,Senior,WR
Santiago Sturla,Senior,SP
Trenton VanBoening,Junior,OL
Ben Wable,Sophomore,DB
Sage Webb,Senior,WR
Donte West,Sophomore,RB
Sean Williams Jr.,Junior,RB
Alec Wills,Senior,DB
Michael Zack,Junior,OL
Austin Zimm,Sophomore,OL
Issac Price,Freshman,WR
Luca Lopez,Freshman,DL
Jahir Dawud,Freshman,DB
Cole Erickson,Freshman,DL
Dakota Brower,Freshman,WR
Tommy Lafayette,Freshman,RB
Ethan Cohall Jr,Freshman,DB
Jake Marzich,Freshman,OL
Shane Throgmartin,Freshman,QB
Mack Long,Freshman,LB
Duncan McPherson,Freshman,DL
Brock Cornell,Freshman,DB
Adeyeye Adebawore,Freshman,DL
Ezra Fearon,Freshman,DB
Mason Walters,Freshman,SP
Michael Gidaro,Freshman,OL
Tyler Blevins,Freshman,OL
Luke Castelli,Freshman,SP
Alex Fletcher,Freshman,OL
Edward Lamar Carter Jr,Freshman,RB
Michael Hegarty,Freshman,TE
Luke McIlhon,Freshman,LB
Daniel Russo,Freshman,LB
Isaac Lee,Freshman,WR
